CODE,DESCRIPTION,QTY,UNIT,RATE,SUBTOTAL,MARKUP,TOTAL
06.CO.0.2.2.0.0.R6,Stiffened Raft Slab - 50mPa (includes associated placement to attached ground beams) including material placement labour & small hand held plant excludes integral finishes & pump,,m3,,,,
06.CO.0.2.3.0.0,Suspended Slabs,,,,,,
06.CO.0.2.3.1.0,Per 1M3,,,,,,
06.CO.0.2.3.1.0.R0,Suspended Slab - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.1.0.R1,Suspended Slab - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.1.0.R2,Suspended Slab - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.1.0.R3,Suspended Slab - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.1.0.R4,Suspended Slab - 30mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.1.0.R5,Suspended Slab - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.1.0.R6,Suspended Slab - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.2.0,Up To 100mm Thick,,,,,,
06.CO.0.2.3.2.0.R0,Suspended Slab up to 100mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.2.0.R1,Suspended Slab up to 100mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.2.0.R2,Suspended Slab up to 100mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.2.0.R3,Suspended Slab up to 100mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.2.0.R4,Suspended Slab up to 100mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.2.0.R5,Suspended Slab up to 100mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.2.0.R6,Suspended Slab up to 100mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.3.0,101mm To 200mm Thick,,,,,,
06.CO.0.2.3.3.0.R0,Suspended Slab 101mm to 200mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.3.0.R1,Suspended Slab 101mm to 200mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.3.0.R2,Suspended Slab 101mm to 200mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.3.0.R3,Suspended Slab 101mm to 200mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.3.0.R4,Suspended Slab 101mm to 200mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.3.0.R5,Suspended Slab 101mm to 200mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.3.0.R6,Suspended Slab 101mm to 200mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.4.0,201mm To 300 Thick,,,,,,
06.CO.0.2.3.4.0.R0,Suspended Slab 201mm to 300mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.4.0.R1,Suspended Slab 201mm to 300mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.4.0.R2,Suspended Slab 201mm to 300mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.4.0.R3,Suspended Slab 201mm to 300mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.4.0.R4,Suspended Slab 201mm to 300mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.4.0.R5,Suspended Slab 201mm to 300mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.4.0.R6,Suspended Slab 201mm to 300mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.5.0,301mm To 400 Thick,,,,,,
06.CO.0.2.3.5.0.R0,Suspended Slab 301mm to 400mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.5.0.R1,Suspended Slab 301mm to 400mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.5.0.R2,Suspended Slab 301mm to 400mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.5.0.R3,Suspended Slab 301mm to 400mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.5.0.R4,Suspended Slab 301mm to 400mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.5.0.R5,Suspended Slab 301mm to 400mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.5.0.R6,Suspended Slab 301mm to 400mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.6.0,401mm To 500 Thick,,,,,,
06.CO.0.2.3.6.0.R0,Suspended Slab 401mm to 500mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.6.0.R1,Suspended Slab 401mm to 500mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.6.0.R2,Suspended Slab 401mm to 500mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.6.0.R3,Suspended Slab 401mm to 500mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.6.0.R4,Suspended Slab 401mm to 500mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.6.0.R5,Suspended Slab 401mm to 500mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.6.0.R6,Suspended Slab 401mm to 500mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.7.0,501mm To 600 Thick,,,,,,
06.CO.0.2.3.7.0.R0,Suspended Slab 501mm to 600mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.7.0.R1,Suspended Slab 501mm to 600mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.7.0.R2,Suspended Slab 501mm to 600mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.7.0.R3,Suspended Slab 501mm to 600mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.7.0.R4,Suspended Slab 501mm to 600mm - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.7.0.R5,Suspended Slab 501mm to 600mm - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.7.0.R6,Suspended Slab 501mm to 600mm - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.8.0,601mm To 700 Thick,,,,,,
06.CO.0.2.3.8.0.R0,Suspended Slab 601mm to 700mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.3.8.0.R1,Suspended Slab 601mm to 700mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.8.0.R2,Suspended Slab 601mm to 700mm - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.3.8.0.R3,Suspended Slab 601mm to 700mm - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
